Site,Reporting period,Males tested,Females non-pregnant,Females pregnant,Children below 12 mths (Age group A),Children 12 mths - 14 yrs (Age group B),Young adults 15-24 years (Age group C),Older adults 25+ yrs (Age group D),PITC,Family Referral Slip (FRS),"Other (VCT, etc_) HTC access",Never tested before,Last negative,Last positive,Last exposed infant,Last inconclusive,Counseled with partner / partner present,Counseled alone / Partner not present,Single test negative,Single test positive,Test 1&2 negative,Test 1&2 positive,Test 1&2 discordant,New negative,New positive,New exposed infants,New inconclusive,Confirmatory positive,Confirmatory inconclusive
Chitipa District Hospital Umoyo Clinic,201704,641,684,223,16,362,437,733,1016,1,531,705,791,52,0,0,115,1433,1458,0,0,89,1,1458,37,0,1,52,0
Chitipa District Hospital Umoyo Clinic,201705,650,1081,261,11,411,693,877,1447,0,545,833,1105,52,0,2,132,1860,1898,0,0,90,4,1898,38,0,4,52,0
Chitipa District Hospital Umoyo Clinic,201706,849,1326,230,8,472,763,1162,1837,18,550,873,1454,74,3,1,152,2253,2267,0,2,132,4,2269,56,2,4,74,0
Kaseye Mission Hospital,201704,26,36,33,0,10,28,57,58,0,37,11,78,3,3,0,15,80,90,0,0,5,0,90,2,0,0,3,0
Kaseye Mission Hospital,201705,35,55,39,0,10,42,77,75,0,54,24,100,5,0,0,21,108,120,0,0,8,1,120,3,0,1,5,0
Kaseye Mission Hospital,201706,41,76,23,1,21,43,75,113,0,27,40,97,2,0,1,11,129,133,0,0,6,1,133,4,0,1,2,0
Misuku Health Centre,201704,24,7,29,0,1,32,27,60,0,0,17,43,0,0,0,44,16,60,0,0,0,0,60,0,0,0,0,0
Misuku Health Centre,201705,39,19,45,0,0,59,44,103,0,0,11,91,1,0,0,37,66,102,0,0,1,0,102,0,0,0,1,0
Misuku Health Centre,201706,29,39,25,0,7,31,55,93,0,0,25,66,2,0,0,46,47,89,0,0,4,0,89,2,0,0,2,0
Nthalire Health Centre,201704,154,256,180,2,24,288,276,354,2,234,97,492,1,0,0,90,500,587,0,0,2,1,587,1,0,1,1,0
Nthalire Health Centre,201705,348,241,176,0,40,364,361,578,0,187,200,548,17,0,0,95,670,734,0,0,31,0,734,14,0,0,17,0
Nthalire Health Centre,201706,117,208,131,0,9,210,237,301,0,155,93,353,10,0,0,48,408,436,0,0,20,0,436,10,0,0,10,0
Kameme Health Centre,201704,112,121,87,1,17,140,162,186,2,132,63,249,8,0,0,58,262,303,0,0,17,0,303,9,0,0,8,0
Kameme Health Centre,201705,97,135,103,0,9,161,165,210,2,123,86,242,7,0,0,63,272,311,0,10,14,0,321,7,0,0,7,0
Kameme Health Centre,201706,248,159,120,2,35,278,212,408,0,119,156,361,10,0,0,93,434,508,0,1,18,0,508,8,0,1,10,0
Wenya Health Centre,201704,22,23,37,0,5,48,29,41,0,41,10,72,0,0,0,38,44,82,0,0,0,0,82,0,0,0,0,0
Wenya Health Centre,201705,48,27,50,0,3,62,60,48,0,77,27,98,0,0,0,81,44,122,0,0,3,0,122,3,0,0,0,0
Wenya Health Centre,201706,62,39,29,0,0,64,66,76,0,54,37,92,1,0,0,47,83,125,0,0,5,0,125,4,0,0,1,0
Chambo Health Centre,201704,18,16,19,0,3,22,28,47,0,6,16,36,1,0,0,20,33,46,0,0,7,0,45,6,1,0,1,0
Chambo Health Centre,201705,20,29,24,0,7,26,40,66,0,7,23,47,1,2,0,24,49,68,0,1,1,3,68,0,0,1,1,3
Chambo Health Centre,201706,17,11,36,0,4,23,37,59,0,5,7,57,0,0,0,16,48,61,0,1,2,0,61,2,0,1,0,0
Kapenda Health Centre,201704,15,8,31,0,1,28,25,48,6,0,23,31,0,0,0,19,35,54,0,0,0,0,54,0,0,0,0,0
Kapenda Health Centre,201705,16,16,2,0,1,10,23,14,0,20,7,27,0,0,0,10,24,34,0,0,0,0,34,0,0,0,0,0
Kapenda Health Centre,201706,23,11,37,0,2,38,31,19,2,50,17,54,0,0,0,17,54,71,0,0,0,0,71,0,0,0,0,0
Chilumba Rural Hospital,201704,138,191,159,0,59,197,232,335,0,153,92,378,18,0,0,68,420,452,0,0,36,0,452,18,0,0,18,0
Chilumba Rural Hospital,201705,456,596,155,15,222,390,580,785,0,422,299,878,30,0,0,99,1108,1159,0,0,47,1,1159,17,0,1,30,0
Chilumba Rural Hospital,201706,841,1203,419,26,374,855,1208,1547,2,914,543,1846,74,0,0,257,2206,2328,0,0,133,2,2328,59,0,2,74,0
Karonga District Hospital,201704,926,1242,568,1,294,1108,1333,1774,0,962,690,1934,109,0,3,304,2432,2518,0,0,206,12,2518,97,0,12,109,0
Karonga District Hospital,201705,903,1605,480,1,292,1137,1558,1944,1,1043,574,2281,130,0,3,316,2672,2766,0,0,213,9,2766,83,0,9,130,0
Karonga District Hospital,201706,926,1402,431,5,243,1174,1337,1917,0,842,536,2111,108,1,3,207,2552,2554,0,0,192,13,2554,84,0,13,108,0
Kaporo Rural Hospital,201704,207,340,260,11,101,339,356,596,0,211,160,615,32,0,0,125,682,750,0,7,49,1,752,17,5,1,32,0
Kaporo Rural Hospital,201705,616,663,237,8,219,614,675,1128,6,382,426,1053,35,0,2,143,1373,1444,0,0,68,4,1444,33,0,4,35,0
Kaporo Rural Hospital,201706,520,528,218,2,219,529,516,1009,0,257,404,837,25,0,0,155,1111,1218,0,0,46,2,1218,21,0,2,25,0
Nyungwe Health Centre,201704,165,159,130,0,16,202,236,326,0,128,62,374,18,0,0,218,236,422,0,0,31,1,422,13,0,1,18,0
Nyungwe Health Centre,201705,331,208,197,0,85,327,324,573,0,163,169,545,22,0,0,150,586,699,0,0,37,0,699,15,0,0,22,0
Nyungwe Health Centre,201706,237,350,168,15,118,315,307,623,5,127,212,522,18,3,0,201,554,719,0,0,35,1,719,17,0,1,18,0
Iponga Health Centre,201704,76,111,64,0,14,109,128,176,0,75,34,202,15,0,0,92,159,223,0,0,27,1,223,12,0,0,15,1
Iponga Health Centre,201705,297,153,107,2,135,179,241,425,0,132,209,316,32,0,0,139,418,500,0,0,57,0,500,25,0,0,32,0
Iponga Health Centre,201706,101,108,67,0,7,133,136,183,0,93,58,210,8,0,0,82,194,257,0,0,15,4,257,7,0,4,8,0
Fulirwa Health Centre,201704,76,39,57,1,6,82,83,154,0,18,14,155,3,0,0,111,61,166,0,0,6,0,166,3,0,0,3,0
Fulirwa Health Centre,201705,53,33,45,0,4,55,72,113,0,18,2,124,5,0,0,54,77,120,0,0,11,0,120,6,0,0,5,0
Fulirwa Health Centre,201706,32,27,30,0,3,42,44,84,0,5,7,81,1,0,0,35,54,86,0,0,3,0,86,2,0,0,1,0
Chilumba Barracks Clinic,201704,251,56,0,0,68,165,74,228,0,79,147,149,11,0,0,7,300,286,0,0,19,2,286,8,0,2,11,0
Chilumba Barracks Clinic,201705,58,39,3,0,8,36,56,41,0,59,22,66,10,0,2,20,80,83,0,0,15,2,83,5,0,2,10,0
Chilumba Barracks Clinic,201706,226,57,0,0,51,126,106,192,0,91,143,136,4,0,0,6,277,275,0,0,7,1,275,3,0,0,4,1
Lupembe Health Centre,201704,72,78,61,0,9,90,112,209,0,2,40,169,2,0,0,76,135,207,0,0,4,0,207,2,0,0,2,0
Lupembe Health Centre,201705,277,390,45,1,264,199,248,699,0,13,330,376,6,0,0,86,626,701,0,0,11,0,701,5,0,0,6,0
Lupembe Health Centre,201706,83,88,71,2,49,82,109,240,0,2,73,167,2,0,0,57,185,239,0,0,3,0,239,1,0,0,2,0
Mpata Health Centre,201704,59,48,17,0,2,37,85,39,0,85,52,71,1,0,0,26,98,123,0,0,1,0,123,0,0,0,1,0
Mpata Health Centre,201705,47,28,33,0,7,29,72,72,0,36,72,32,4,0,0,52,56,100,0,0,6,2,100,2,0,2,4,0
Mpata Health Centre,201706,36,26,21,0,1,34,48,46,0,37,44,39,0,0,0,34,49,82,0,0,0,1,82,0,0,1,0,0
Sangilo Health Centre,201704,21,20,18,0,2,28,29,38,0,21,10,48,1,0,0,16,43,55,0,0,4,0,55,3,0,0,1,0
Sangilo Health Centre,201705,23,12,22,0,1,26,30,36,0,21,7,50,0,0,0,22,35,53,0,0,4,0,53,4,0,0,0,0
Sangilo Health Centre,201706,10,11,5,0,1,8,17,16,0,10,1,24,1,0,0,4,22,23,0,0,3,0,23,2,0,0,1,0
Wiliro Health Centre,201704,18,10,27,0,0,27,28,29,0,26,6,49,0,0,0,31,24,55,0,0,0,0,55,0,0,0,0,0
Wiliro Health Centre,201705,20,6,24,0,2,22,26,27,0,23,8,42,0,0,0,31,19,47,0,0,3,0,47,3,0,0,0,0
Wiliro Health Centre,201706,24,26,19,0,4,23,42,20,0,49,9,60,0,0,0,27,42,68,0,0,1,0,68,1,0,0,0,0
Ngana Health Centre,201704,11,4,7,0,4,7,11,14,0,8,4,15,0,3,0,8,14,22,0,0,0,0,20,0,2,0,0,0
Ngana Health Centre,201705,7,8,13,0,1,14,13,16,0,12,7,20,1,0,0,4,24,24,0,0,4,0,24,3,0,0,1,0
Ngana Health Centre,201706,5,8,3,0,0,9,7,6,0,10,6,9,1,0,0,9,7,14,0,0,2,0,14,1,0,0,1,0
Lwezga Health Centre,201704,37,13,23,0,5,28,40,52,0,21,33,38,2,0,0,41,32,70,0,0,3,0,70,1,0,0,2,0
Lwezga Health Centre,201705,16,13,11,0,1,16,23,15,0,25,31,8,1,0,0,8,32,38,0,0,2,0,38,1,0,0,1,0
Lwezga Health Centre,201706,19,5,26,0,1,23,26,40,0,10,33,13,4,0,0,31,19,44,0,0,6,0,44,2,0,0,4,0
St Anne's Health Centre,201704,102,135,43,3,50,83,144,173,0,107,57,217,4,0,2,41,239,266,0,0,12,2,266,8,0,2,4,0
St Anne's Health Centre,201705,112,153,59,9,45,91,179,233,0,91,62,254,7,1,0,87,237,310,0,0,13,1,310,6,0,1,7,0
St Anne's Health Centre,201706,150,192,31,6,100,81,186,267,0,106,125,238,8,2,0,48,325,358,0,0,14,1,358,6,0,1,8,0
Atupele Health Centre,201704,1165,175,75,0,756,444,215,1283,0,132,955,444,16,0,0,65,1350,1382,0,0,33,0,1382,17,0,0,16,0
Atupele Health Centre,201705,361,469,54,0,187,362,335,559,0,325,270,597,13,3,1,80,804,859,0,0,23,2,859,10,0,2,13,0
Atupele Health Centre,201706,716,520,75,10,294,536,471,875,3,433,450,850,10,1,0,114,1197,1291,0,0,20,0,1299,10,1,0,1,0
Kasoba Health Centre,201704,62,142,50,1,19,110,124,156,0,98,42,206,6,0,0,29,225,239,0,0,14,1,239,8,0,1,6,0
Kasoba Health Centre,201705,166,253,43,0,86,139,237,356,0,106,140,305,12,5,0,38,424,442,0,0,19,1,441,7,1,1,12,0
Kasoba Health Centre,201706,113,75,42,1,17,75,137,148,4,78,52,164,10,3,1,110,120,213,0,0,16,1,213,6,0,1,10,0
Blm Karonga,201704,232,204,0,0,10,257,169,1,0,435,318,108,10,0,0,60,376,416,0,0,20,0,416,10,0,0,10,0
Blm Karonga,201705,182,108,1,0,4,109,178,0,0,291,169,115,7,0,0,64,227,278,0,0,13,0,278,6,0,0,7,0
Blm Karonga,201706,193,85,1,0,4,124,151,0,0,279,131,136,11,0,1,48,231,256,0,0,21,2,256,10,0,2,11,0
Chintheche Rural Hospital,201704,83,253,114,0,24,214,212,448,0,2,61,372,16,0,1,53,397,413,0,0,32,5,413,16,0,5,16,0
Chintheche Rural Hospital,201705,115,245,98,0,21,237,200,289,0,169,52,386,20,0,0,58,400,410,0,0,44,4,410,26,0,4,18,0
Chintheche Rural Hospital,201706,56,200,70,0,18,187,121,226,6,94,41,274,11,0,0,26,300,302,0,0,21,3,302,10,0,2,11,1
Nkhatabay District Hospital,201704,263,312,178,0,50,307,396,408,2,343,177,528,42,0,6,130,623,656,0,3,89,5,659,47,0,5,42,0
Nkhatabay District Hospital,201705,293,299,215,6,80,327,394,340,2,465,204,564,36,3,0,137,670,730,0,1,64,12,731,28,0,12,36,0
Nkhatabay District Hospital,201706,274,271,179,0,55,256,413,478,1,245,143,539,42,0,0,116,608,643,0,3,75,3,646,33,0,3,42,0
Mzenga Health Centre,201704,99,127,45,0,94,98,79,109,1,161,168,102,1,0,0,51,220,265,0,0,4,2,267,3,0,0,1,0
Mzenga Health Centre,201705,81,56,26,0,17,76,70,107,2,54,44,118,1,0,0,50,113,159,0,0,4,0,159,3,0,0,1,0
Mzenga Health Centre,201706,70,41,29,0,8,63,69,83,0,57,26,114,0,0,0,57,83,139,0,0,1,0,139,1,0,0,0,0
Usisya Health Centre,201704,23,29,48,0,4,41,55,78,0,22,22,73,1,0,4,6,94,91,0,0,2,7,91,1,0,7,1,0
Usisya Health Centre,201705,15,26,31,0,7,34,31,51,0,21,14,54,3,0,1,2,70,65,0,0,7,0,65,4,0,0,3,0
Usisya Health Centre,201706,30,28,24,0,6,34,42,43,0,39,12,68,2,0,0,8,74,78,0,0,4,0,78,2,0,0,2,0
Kachere Health Centre,201704,97,78,45,2,17,90,111,133,1,86,45,161,13,0,1,65,155,192,0,0,25,3,192,12,0,2,13,1
Kachere Health Centre,201705,107,84,83,1,19,120,134,158,3,113,61,189,23,0,1,96,178,231,0,1,41,1,232,18,0,0,23,1
Kachere Health Centre,201706,96,74,64,2,16,110,106,113,4,117,51,173,10,0,0,81,153,210,0,2,22,0,212,12,0,0,10,0
Maula Health Centre,201704,41,38,41,0,9,54,57,62,1,57,20,86,11,3,0,12,108,97,0,0,23,0,97,11,0,1,11,0
Maula Health Centre,201705,45,61,49,1,8,69,77,68,1,86,136,11,7,0,1,14,141,136,0,3,12,4,138,7,0,3,6,1
Maula Health Centre,201706,22,35,26,0,7,32,44,42,0,41,22,55,5,1,0,13,70,72,0,0,11,0,72,6,0,0,5,0
Chikwina Health Centre,201704,31,34,10,1,3,34,37,21,0,54,16,59,0,0,0,2,73,71,0,0,2,2,72,2,0,1,0,0
Chikwina Health Centre,201705,25,37,31,0,11,47,35,41,0,52,9,83,1,0,0,4,89,89,0,0,2,2,89,1,0,2,1,0
Chikwina Health Centre,201706,14,21,36,0,5,35,31,30,0,41,8,61,1,1,0,4,67,69,0,0,2,0,69,1,0,0,1,0
Chitheka Health Centre,201704,20,34,32,2,8,34,42,35,1,50,9,74,3,0,0,0,86,78,0,0,8,0,78,5,0,0,3,0
Chitheka Health Centre,201705,38,36,48,3,7,53,59,49,0,73,43,77,2,0,0,15,107,116,0,0,3,3,117,1,0,2,2,0
Chitheka Health Centre,201706,25,31,30,0,5,40,41,30,0,56,24,61,1,0,0,8,78,79,0,0,7,0,79,6,0,0,1,0
Kande Health Centre,201704,49,79,37,2,4,67,92,53,0,112,36,117,11,1,0,18,147,143,0,0,21,1,143,10,0,1,11,0
Kande Health Centre,201705,80,88,69,2,17,98,120,104,0,133,61,165,11,0,0,48,189,217,0,1,19,0,217,8,1,0,11,0
Kande Health Centre,201706,87,113,45,2,17,93,133,83,0,162,57,169,18,1,0,60,185,216,0,0,29,0,215,11,1,0,18,0
Mpamba Health Centre,201704,60,94,69,4,9,95,115,84,0,139,42,164,15,0,2,43,180,193,0,0,27,3,183,22,0,3,15,0
Mpamba Health Centre,201705,53,83,115,6,13,116,116,126,0,125,36,200,15,0,0,50,201,224,0,0,24,3,224,9,0,3,15,0
Mpamba Health Centre,201706,84,82,81,7,13,119,108,93,0,154,40,195,10,0,2,50,197,226,0,0,19,2,226,9,0,2,10,0
Bula Health Centre,201704,39,19,35,0,3,43,47,39,0,54,9,84,0,0,0,12,81,93,0,0,0,0,93,0,0,0,0,0
Bula Health Centre,201705,33,22,11,0,5,33,28,10,0,56,16,50,0,0,0,8,58,66,0,0,0,0,66,0,0,0,0,0
Bula Health Centre,201706,89,28,11,0,13,67,48,10,0,118,3,124,0,1,0,2,126,125,0,0,3,0,125,3,0,0,0,0
Chesamu Health Centre,201704,4,2,15,0,0,8,13,15,0,6,2,18,1,0,0,2,19,20,0,0,1,0,20,0,0,0,1,0
Chesamu Health Centre,201705,21,2,20,0,1,21,21,25,0,18,12,31,0,0,0,8,35,42,0,1,0,0,43,0,0,0,0,0
Chesamu Health Centre,201706,10,7,14,0,0,17,14,13,0,18,2,29,0,0,0,2,29,31,0,0,0,0,31,0,0,0,0,0
Liuzi Health Centre,201704,86,48,38,0,21,72,79,103,0,69,46,121,5,0,0,82,90,161,0,0,8,3,161,3,0,3,5,0
Liuzi Health Centre,201705,71,45,47,0,3,84,76,104,0,59,30,125,7,0,1,82,81,150,0,0,11,2,150,4,0,1,7,1
