Data Element Name,Code,Category Name,Data Element ID,Category ID,Attribute ID
OpenLMIS TB Cycloserine 250mg Stock on hand,TB041500-a,default,EoDP801lDr5,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Pyridoxine (Vitamin B6) 20mg, tablets Quantity used",AA054950-b,default,OZOqEHQAZFT,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Dextrose (glucose) 5%, 1000ml Stock out days",BB021600-c,default,JrQ8cLmFL7Z,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS X-RAY Envelopes for films (Khaki paper Stock out days,NN016800-c,default,ggpr5zIkF0m,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Diclofenac sodium 50mg Stock out days,FD001100-c,default,xkDk2WR1CnE,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Vitamin B complex strong, Tablets Stock out days",AA064500-c,default,Yi2Dlm7spSH,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Aminophylline 25mg/ml, 10ml quantity received",FD103800-d,default,ITY5bmdHMSv,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Determine syphillis Stock on hand,ST008700-a,default,hV7s66gLNHt,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS DENT Mepivacaine hydrochloride 3% plain 1.8 ml cartridge Stock out days,PP049200-c,default,bFegDTELXuy,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS GAL Dexamethasone eye drops 0.1% Quantity used,FD252700-b,default,FlUXffZwmNs,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS MAL Artesunate 25mg+Amodiaquine 67.5mg 3tablets/blister quantity received,GF0560-d,default,j7yKF7JLpOu,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Colostomy Bags, disposable 25cmx13cm Quantity used",FD400500-b,default,eymfjvcR5hR,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Zinc oxide 15% ointment (in EO base), 500g Stock out days",EE051600-c,default,u7ufXLbUuvI,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Lamivudine/Abacavir 60mg/30mg (9P) Quantity used,GF0075-b,default,uy3JC9VwlZA,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Cotrimoxazole 120mg Tablets Stock on hand,GF0402-a,default,a3eeBdMoEAu,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Clips, umbilical cord, polythene Quantity used",HH039000-b,default,i9ez2ScKRGJ,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Calamine lotion aqueous 15%, 500ml quantity received",EE008700-d,default,zRRrLdgRTwu,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS RHD Oral Contraceptive tablets – low oestrogen (e.g. Lofemenal) Stock out days,FP000200-c,default,sW3PiQ9H620,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Ethambutol 400mg Quantity used,TB000200-b,default,GMpqLAolk6r,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS X-RAY Developer for Automatic Process quantity received,FD650100-d,default,bnVaz3DOmhY,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Rifampicin 150mg/isoniazid 75mg Stock on hand,TB001300-a,default,j1JGONyFAls,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Chlorpromazine 25mg Quantity used,FD003900-b,default,KU2Bdz6zpt9,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS RHD Copper containing IUCD (Copper T®) Stock on hand,FP002400-a,default,QDHTeShlab1,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Ciprofloxacin 250mg, tablets Stock out days",AA015600-c,default,uTy9CqoOz6l,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Phenobarbitone sodium 200mg/ml, 1ml Quantity used",BB063000-b,default,gdDioNMYCjk,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Chloramphenicol Sodium 1g, PFR Stock on hand",BB014400-a,default,bB6BAPOy7FM,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Atazanavir 300mg / Ritonavir 100mg (7A) Stock out days,GF0570-c,default,DGAFtznUBzZ,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS INJ Bleomycin 15000iu Stock out days,GF3050-c,default,bIwyLw3imQT,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Zinc oxide & salicylic acid paste BP (Lassar's), 500gm Stock on hand",EE051300-a,default,s7RFHnRHLkX,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Benzyl benzoate application 25%, 500ml Stock on hand",EE004800-a,default,ZTLs6lfKwCA,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Suxamethonium chloride 50mg/ml, 2ml quantity received",BB072600-d,default,qereBlZxg5y,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Ciprofloxacin 500mg, tablets Quantity used",AA015900-b,default,szBC39cM4yV,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS DENT Liner, glass ionomer Quantity used",PP047100-b,default,fO7eCLiRWQd,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Azithromycin 500mg Quantity used,ST011800-b,default,fGEahiUAVu8,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Unigold HIV Test Kits Stock on hand,GF0090-a,default,R6gGVQiBpNT,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Dextrose (glucose) 5%, 500ml Stock on hand",BB022200-a,default,otZ6Vg4r1BR,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Sodium chloride 0.9%, 1000ml quantity received",FD106100-d,default,QDGdVmo0osy,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Oral rehydration salt, satchet (WHO formula) for 1L solution Stock on hand",GF006-a,default,LBoC8l6LemA,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Capreomycin sulphate 1g Stock out days,TB041100-c,default,TIIbRt76Vpd,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Aminophylline 100mg Quantity used,FD000200-b,default,SfHTj3Dpdyz,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS HIV Stavudine (d4T) + Lamivudine (3TC), 6mg +30mg (3P) quantity received",GF0231-d,default,Sqht9RRHSCm,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Amlodipine 10mg, tablets Stock on hand",AA003600-a,default,oYx8v5mDo29,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUT Catgut chromic 2 on needle round bodied ½ circle 50mm quantity received,FD353600-d,default,eEpGxinwjba,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Hydralazine 25mg quantity received,FD005000-d,default,omjdmfanB5r,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Clotrimazole cream 1%, 20g Quantity used",EE012900-b,default,PQEptej8vr3,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS INJ Adrenaline 1/1000 1ml Quantity used,TB000600-b,default,v0ut6VwG5UX,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS HIV Lamivudine 150mg/Stavudine 30mg/Neverapine 200mg (4A) Stock out days,GF0048-c,default,rE8SqhGzgzI,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS HIV Zidovudine (AZT) + Lamivudine (3TC) +Nevirapine (NVP), 60mg+30mg+50mg, 60's (2P) Stock on hand",GF0230-a,default,HGt2eC607P9,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Chlorinated lime HTH (Sodium hypochlorite) 70%, 50Kg Stock out days",EE011700-c,default,VkhyxfF9rex,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Isoniazid 100mg (100) Stock on hand,TB000700-a,default,x6AjLNO5zI4,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS HIV Lamivudine/Stavudine/Neverapine 30mg/6mg/50mg Tabs 6mg +30mg+50mg, 60'S (1P) Stock out days",GF0066-c,default,xdRgFZxrQcq,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Metformin hydrochloride 500mg, tablets quantity received",AA042000-d,default,VBYxoY4SNzj,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS MAL Lumefantrine 120mg/Artemether 20mg, 30x24, tablets Stock on hand",AA040500-a,default,ZTKnToTDsHE,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS X-RAY Fixer for automatic process, 5l Stock out days",FD650200-c,default,P3YF2H0ZMER,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Amlodipine 10mg, tablets quantity received",AA003600-d,default,eeDb098CzoZ,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS GAL Dexamethasone 0.1% and Neomycin 0.35% (as sulphate) eye drop Stock out days,EE015000-c,default,AtxNBI3aflo,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Zinc oxide 15% ointment (in EO base), 500g Quantity used",EE051600-b,default,nRyt4PwKbN5,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUT Catgut chromic suture sterile 0, round bodied ½ circle 40mm quantity received",GG000600-d,default,x32XRsuxqwJ,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Salicylic acid ointment 5% (in YSP base), 500g quantity received",EE044100-d,default,M9JDhDVE1wc,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Diazepam 5mg/ml, 2ml Quantity used",BB024000-b,default,sUcZcrWcph1,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Catheter Foley's retention 30cc FG 16 Stock on hand,HH027300-a,default,poV0aMnQAWJ,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS MAL Quinine dihydrochloride 300mg/ml, 2ml Stock on hand",BB067500-a,default,APe7GoA6vG9,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS ESS Chlorpheniramine maleate 4mg Stock on hand,FD000900-a,default,GyRf5Bh9X4e,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Catheter Foley's retention 30cc FG 18 Quantity used,HH027600-b,default,UlGt6jeb0kV,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Prednisolone 5mg, tablets Stock out days",AA052500-c,default,elFFE7yzip4,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Olanzepine 15mg, tablets Quantity used",AA048300-b,default,L8XejmS54dT,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Tube, feeding CH 8 quantity received",HH174900-d,default,e2BrDihxOQh,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS MAL Sulphadoxine 500mg / pyrimethamine 25mg (SP), tablets Stock on hand",AA058200-a,default,UMkT10wBx33,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Rifampicin 150mg/isoniazid 75mg quantity received,TB001300-d,default,YuJUULzyEt2,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Scalpel blade size 20 (individually wrapped),Carbon steel Stock on hand",HH123900-a,default,QNrYQ49pBgp,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Bandage, plaster of paris 7.5cm X 2.7m long, when stretched quantity received",FF004200-d,default,FoYQiX6VJXt,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Cannula iv (winged with injection pot) 16 Stock on hand,FD404600-a,default,xS27RVVQDuH,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Sodium lactate compound (Ringer's lactate), 1000ml quantity received",FD106200-d,default,Xe4dT2xwNYz,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Clotrimazole 500mg vaginal tablet (blister 10 x 10, with app Stock out days",DN260600-c,default,k9iWIzKiIhc,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Salbutamol sulphate aerosol inhalation, 100mcg/dose, 200 dos Quantity used",EE040800-b,default,ywO7AZGp0ef,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Amoxycillin 125mg/5ml suspension, PFR to make 100ml Quantity used",EE002700-b,default,QK2rrbclStK,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS DENT Zinc oxide eugenol Powder quantity received,PP107750-d,default,gAkqm6o672D,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Scalpel blade size 20 (individually wrapped),Carbon steel Quantity used",HH123900-b,default,ochApUVd0Z8,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS TB Rifampicin150mg/Isoniazid75mg/Ethambutol 275mg (RHE) Stock out days,TB042700-c,default,HE3dUgDrvhc,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR + HOSP Scalpel blade size 21 (individually wrapped),Carbon steel Stock on hand",HH124200-a,default,emqiTP0A3AZ,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUT Catgut chromic suture sterile 0, round bodied ½ circle 40mm Stock out days",GG000600-c,default,VqJdeKfci9K,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Lisinopril 10mg , tablets Quantity used",AA036600-b,default,lqIZA0Ktp4B,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS ESS Atenolol 100mg, tablets Stock out days",AA007800-c,default,r9oppCsnEAH,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS DENT Amalgam capsule no. 2, non-gamma Stock on hand",FD700900-a,default,AaNM6ap9O4O,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Bandage, WOW 15cm x 4m long, when stretched Quantity used",FF006600-b,default,UfEfd9a9Pw8,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS MAL Lumefantrine 120mg/Artemether 20mg,30x6, Dispesible tablets Quantity used",AA039600-b,default,hZXVxfizVBG,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS SUR + HOSP Giving set iv administration + needle 15 drops/ml Quantity used,FD406100-b,default,zkXmPOWdIlu,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS GAL Podophyllum paint 10% in compound benzoin tincture, 20ml Stock out days",EE036600-c,default,nSHCrn5fvGS,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS INJ Dexamethasone Injection 5mg/2ml,2ml quantity received",BB021301-d,default,GOr85NVjZMD,Tt7fU5lUhAU,Tt7fU5lUhAU
"OpenLMIS SUR Gauze, absorbent 90cm x 40m Stock on hand",FD300800-a,default,mbR0xGEWyLm,Tt7fU5lUhAU,Tt7fU5lUhAU
OpenLMIS X-RAY Sodium + Magluminediatrizoate (urografin)76% Stock on hand,FD650400-a,default,MhJWXbPBTyw,Tt7fU5lUhAU,Tt7fU5lUhAU
